Rule;Pair;Start Date;End Date;Timeframe;Profit;Leverage Profit;Ratio;Ratio Shorts;Ratio Longs;High;Low;Transactions;Leverage
origin;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-2,066%;-11,801%;0.6060606060606061;0.5714285714285714;0.8;8,984%;-18,704%;67;5
test4;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-1,009%;-6,614%;0.6333333333333333;0.6;0.8;9,648%;-13,473%;61;5
test8;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-2,536%;-13,187%;0.5294117647058824;0.46153846153846156;0.75;5,579%;-18,752%;35;5
test14;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-3,538%;-17,510%;0.5;0.4166666666666667;0.75;2,642%;-22,569%;33;5
test15;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;1,002%;4,858%;0.8;-;0.8;4,858%;-2,844%;11;5
test16;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;0,032%;-1,039%;0.65;0.6;0.8;6,585%;-8,784%;41;5
test17;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-1,553%;-9,040%;0.6071428571428571;0.5652173913043478;0.8;5,662%;-15,902%;57;5
test18;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;3,540%;16,875%;0.71875;0.6666666666666666;1;16,875%;-1,128%;65;5
test19;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-1,213%;-7,291%;0.6;0.46153846153846156;0.8571428571428571;6,140%;-17,406%;41;5
test20;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-1,104%;-6,817%;0.6153846153846154;0.55;0.8333333333333334;3,057%;-16,299%;53;5
